rating,audience_score,title,credit,box_office,year
94,90,Avengers: Endgame,Wanda Maximoff/Scarlet Witch (Character),858.4,2019
85,91,Avengers: Infinity War,Wanda Maximoff/Scarlet Witch (Character),678.8,2018
86,71,Ingrid Goes West,Taylor Sloane (Character),3,2017
87,90,Wind River,Agent Jane Banner (Character),33.8,2017
90,89,Captain America: Civil War,Wanda Maximoff/Scarlet Witch (Character),408.1,2016
18,36,I Saw the Light,Audrey Mae Williams (Character),1.6,2015
76,83,Avengers: Age of Ultron,Wanda Maximoff/Scarlet Witch (Character),459,2015
76,66,Godzilla,Elle Brody (Character),200.7,2014
76,60,Kill Your Darlings,Edie Parker (Character),1,2013
39,37,Oldboy,Marie Sebastian (Character),2.2,2013
43,30,Silent House,Sarah (Character),12.6,2011
90,71,Martha Marcy May Marlene,Martha (Character),3,2011
